               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098375,            0.049575,                   0,             0.22352,             0.23333,             0.13263,            0.034317,            0.085654,            0.022379,                   0,            0.070469,           0.0032813,           0.0032813
                   1,            0.070449,            0.049439,                   0,             0.34902,             0.38667,             0.34972,             0.10982,             0.07156,            0.014384,                   0,            0.040456,           0.0066015,           0.0066015
                   2,            0.062607,            0.043595,                   0,             0.34393,             0.43333,             0.32737,             0.14354,            0.056012,            0.013125,                   0,            0.010429,           0.0099085,           0.0099085
                   3,            0.056679,            0.043587,                   0,             0.65932,             0.50319,             0.63095,              0.2453,            0.051744,            0.011383,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.051406,            0.043026,                   0,             0.60972,             0.69783,             0.68567,             0.28206,             0.04282,            0.011469,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.047913,            0.041372,                   0,             0.71319,             0.66667,             0.69665,             0.27997,            0.047984,             0.01123,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.045947,            0.040066,                   0,             0.76816,             0.70683,             0.75876,              0.3224,            0.044405,            0.011013,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.043942,            0.039054,                   0,             0.81847,             0.77333,             0.81644,             0.33953,            0.045305,            0.010167,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.043557,            0.039436,                   0,             0.80319,             0.74667,             0.81192,             0.39158,            0.039475,            0.010396,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,             0.04228,            0.039479,                   0,             0.79341,                0.76,             0.78736,             0.35594,            0.047219,           0.0093915,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.041573,            0.036644,                   0,             0.79643,                0.82,             0.87715,             0.40503,            0.041217,           0.0089856,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.040715,            0.036904,                   0,              0.8353,                0.82,             0.88192,             0.39962,            0.039538,           0.0097194,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.039186,            0.037805,                   0,             0.89986,             0.79333,             0.86782,             0.37669,            0.043123,           0.0097603,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.040545,             0.03745,                   0,             0.87263,             0.82213,              0.8625,             0.36968,            0.045478,           0.0092395,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.038353,             0.03644,                   0,             0.85075,             0.80667,             0.85447,             0.36796,            0.043074,            0.010183,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.038374,            0.035493,                   0,             0.87655,             0.80469,             0.88078,             0.42211,            0.038428,           0.0093786,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.037574,             0.03605,                   0,             0.84657,                0.82,             0.85134,             0.37969,            0.044505,           0.0092986,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.037847,             0.03539,                   0,             0.86825,             0.68667,             0.84294,             0.33829,            0.040331,           0.0091099,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.037194,            0.035502,                   0,              0.8942,             0.84519,             0.90962,             0.40077,            0.039061,           0.0086954,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.036153,            0.033442,                   0,             0.82992,             0.84579,             0.87357,             0.35767,              0.0456,            0.008913,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.036304,            0.033978,                   0,             0.81865,             0.78667,             0.86021,             0.41811,            0.040599,           0.0093548,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.035895,            0.034349,                   0,              0.8113,             0.79333,             0.82136,             0.35148,            0.042991,            0.010304,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.035742,            0.033719,                   0,             0.84034,             0.85333,             0.85644,             0.39916,            0.039755,            0.010499,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.034596,            0.033045,                   0,             0.92773,             0.85578,             0.92058,             0.44789,            0.038526,           0.0088199,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.035254,            0.032934,                   0,             0.94142,             0.86667,              0.9301,             0.48091,            0.034575,           0.0088657,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.034292,            0.033005,                   0,             0.92865,             0.82667,             0.91148,             0.47442,            0.036498,           0.0090837,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.034067,            0.032614,                   0,             0.86429,                0.82,             0.87911,              0.4184,            0.037448,            0.010064,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.034229,             0.03158,                   0,             0.88249,                0.84,             0.90715,             0.46203,            0.038275,           0.0087252,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.033766,            0.031867,                   0,             0.89346,             0.78667,             0.87943,             0.46514,            0.035392,           0.0093471,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.032793,            0.031423,                   0,             0.89214,              0.8823,             0.92611,             0.47743,            0.038545,           0.0083423,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.033122,            0.032225,                   0,               0.902,             0.85903,             0.88615,             0.43824,            0.038447,           0.0090801,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.032582,            0.031133,                   0,             0.92524,             0.87333,             0.93027,             0.50015,            0.034813,           0.0087842,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.032179,            0.030907,                   0,             0.89519,             0.85333,             0.89781,             0.44421,            0.042941,           0.0092436,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.032301,             0.03146,                   0,             0.84681,             0.84763,             0.89663,             0.46277,            0.040108,           0.0085032,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.031532,            0.029979,                   0,             0.89435,             0.79333,              0.8642,             0.46595,            0.038389,           0.0090716,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.031967,            0.030604,                   0,             0.86426,             0.83333,             0.89867,              0.4802,            0.038052,           0.0084933,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.032946,            0.029613,                   0,             0.95881,             0.84667,             0.93276,              0.4913,            0.038805,           0.0078359,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.031395,            0.030602,                   0,             0.93566,             0.87249,             0.92975,             0.50734,            0.035588,           0.0080453,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.030359,             0.03015,                   0,             0.93873,             0.86667,             0.93013,             0.50863,            0.033756,           0.0081317,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.031297,            0.029589,                   0,             0.93281,             0.90667,             0.92978,             0.48046,            0.035531,           0.0084085,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.031633,            0.029258,                   0,             0.92737,                0.88,             0.93245,             0.49601,            0.037547,           0.0085704,                   0,           0.0092278,           0.0092278,           0.0092278
